Symbol,Quantity,AvgPrice
MOTHERSON,114,50.1
MSUMI,186,146.03
HYUNDAI,16,1691.89
TATAMOTORS,20,770.07
BANDHANBNK,106,169.22
MAHABANK,61,44.58
CANBK,133,103.98
HDFCBANK,21,1626.71
IDFCFIRSTB,585,72.8
INDUSINDBK,7,851.48
YESBANK,1145,20.1
AMBUJACEM,17,515.95
AARTIIND,15,387.27
UNIPARTS,27,517.44
PATELENG,174,43.92
PAYTM,22,610.64
ICICINIFTY,70,261.82
AWL,23,282.23
BDL,1,976.39
CUMMINSIND,19,370.54
SUZLON,681,61.08
BAJFINANCE,34,1723.8
CDSL,12,1310.57
JIOFIN,41,251.03
LICHSGFIN,6,533.91
M&MFIN,2,238.19
HCLTECH,11,1605.36
TATATECH,13,868.44
ADANIPORTS,53,1305.09
GMRAIRPORT,635,82.46
ZEEL,231,136.34
HINDCOPPER,32,216.96
ASIANPAINT,24,2805.86
ORIENTPPR,200,32.5
BIOCON,73,331.7
JISLJALEQS,477,62.69
BPCL,34,263.38
IOC,200,141.61
RELIANCE,9,1254.87
SCI,21,173.95
SAIL,45,112.47
TATASTEEL,193,151.22
ADANIENT,25,2603.72
GMRPWR,60,115.4
RPOWER,250,44.56
RELINFRA,80,235.1
ALOKINDS,1500,17.48
ZENTEC,15,1436.6
